date,Afghanistan,Armenia,Azerbaijan,Bangladesh,Belarus,Benin,Bhutan,Brazil,Burkina Faso,Burundi,Cameroon,Cape Verde,Chad,Chile,China,Colombia,Costa Rica,Democratic Republic of the Congo,Dominican Republic,Egypt,El Salvador,Eritrea,Ethiopia,Gabon,Georgia,Ghana,Guatemala,Guinea,Haiti,India,Indonesia,Kyrgyzstan,Lao People's Democratic Republic,Lesotho,Madagascar,Malawi,Mauritania,Mexico,Mongolia,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Occupied Palestinian Territory,Pakistan,Panama,Peru,Philippines,Republic of Moldova,Russian Federation,Samoa,Senegal,Somalia,Sri Lanka,Tajikistan,Timor-Leste,Togo,Tunisia,Uganda,Uruguay,Viet Nam,Zambia,Zimbabwe
19990201,,,,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,1.59,,,,1.49,2.97,,,,3.33,,,,,,,,,,,20.1,,,,,
19990301,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,1.64,,,,1.31,2.83,,,,3.36,,,,,,,,,,,19.74,,,,,
19990401,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,1.06,,,,1.26,2.91,,,,3.44,,,,,,,,,,,19.37,,,,,
19990501,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.77,,,,1.25,2.88,,,,3.48,,,,,,,,,,,19.43,,,,,
19990601,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,0.73,,,,1.44,2.27,,,,3.51,,,,,,,,,,,19.38,,,,,
19990701,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,0.7,,,,1.51,2.36,,,,3.53,,,,,,,,,,,18.91,,,,,
19990801,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,0.72,,,,1.41,3.03,,,,3.52,,,,,,,,,,,19.5,,,,,
19990901,,,,,,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,0.82,,,,1.31,2.91,,,,3.45,,,,,,,,,,,19.58,,,,,
19991001,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,0.87,,,,1.37,2.82,,,,3.41,,,,,,,,,,,20.29,,,,,
19991101,,,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,0.95,,,,1.35,2.73,,,,3.4,,,,,,,,,,,19.89,,,,,
19991201,,,,,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,1.04,,,,1.27,2.81,,,,3.39,,,,,,,,,,,18.72,,,,,
20000101,3.23,,,,,3.78,,2.34,,,,,,,,1.11,3.43,,,,,,,,,,,,,5.17,,,0.49,,,,,,,5.1,,,,2.95,5.13,,,,5.8,25.16,,,,,,,,,,18.99,,,,,
20000201,3.07,,,,,3.59,,2.15,,,,,,,,1.11,3.25,,,,,,,,,,,,,5.09,,,0.49,,,,,,,4.48,,,,2.91,5.34,,,,5.89,25.28,,,,,,,,,,18.85,,,,,
20000301,2.82,,,,,3.81,,2.16,,,,,,,,1.1,3.23,,,,,,,,,,,,,6.03,,,0.51,,,,,,,4.47,,,,2.97,5.14,,,,6.01,25.63,,,,,,,,,,18.38,,,,,
20000401,2.94,,,,,4.55,,2.24,,,,,,,,1.09,3.15,,,,,,,,,,,,,6.08,,,0.56,,,,,,,4.14,,,,2.93,5.11,,,,5.84,24.06,,,,,,,,,,17.85,,,,,
20000501,2.96,,,,,4.43,,2.15,,,,,,,,1.04,3.12,,,,,,,,,,,,,5.98,,,0.56,,,,,,,3.9,,,,2.94,4.94,,,,5.73,25.5,,,,,,,,,,16.63,,,,,
20000601,3.02,,,,,4.63,,2.15,,,,,,,,1.02,3.12,,,,,,,,,,,,,5.9,,,0.57,,,,,,,3.77,,,,2.96,5.26,,,,5.76,25.01,,,,,,,,,,17.29,,,,,
20000701,3.01,,,,,4.7,,2.17,,,,,,,,0.99,3.11,,,,,,,,,,,,,6.09,,,0.57,,,,,,,3.55,,,,2.99,5.22,,,,5.94,24,,,,,,,,,,17.28,,,,,
20000801,2.74,,,,,4.44,,2.27,,,,,,,,0.96,3.15,,,,,,,,,,,,,5.98,,,0.59,,,,,,,3.48,,,,2.99,4.96,,,,5.88,23.62,,,,,,,,,,17.16,,,,,
20000901,2.76,,,,,3.87,,2.13,,,,,,,,0.94,3.06,,,,,,,,,,,,,6.03,,,0.59,,,,,,,4.13,,,,2.86,4.92,,,,5.92,23.12,,,,,,,,,,17.19,,,,,
20001001,2.64,,,,,3.7,,2.08,,,,,,,,0.96,2.98,,,,,,,,,,,,,5.96,,,0.57,,,,,,,3.5,,,,2.76,4.7,,,,5.89,21.84,,,,,,,,,,17.13,,,,,
20001101,2.49,,,,,3.15,,2.02,,,,,,,,0.97,3.04,,,,,,,,,,,,,6.15,,,0.48,,,,,,,3.17,,,,2.69,4.73,,,,5.76,21.1,,,,,,,,,,16.84,,,,,
20001201,2.45,,,,,3.22,,2.07,,,,,,,,0.95,2.99,,,,,,,,,,,,,6.17,,,0.49,,,,,,,3.09,,,,2.73,5.11,,,,5.88,21.09,,,,,,,,,,17.07,,,,,
20010101,2.36,,,,,4.28,,2.01,,,,,,,,0.92,3,,,,,,,,,,2.95,,,6.15,,,0.49,,,,,,,3.65,,,,2.7,5.32,,,,5.89,20.66,,,,,5.53,,,,5.12,17.75,,,,,
20010201,2.29,,,,,4.53,,1.95,,,,,,,,0.95,2.98,,,,,,,,,,3.11,,,5.93,,,0.5,,,,,,,3.9,,,,2.69,5.59,,,,6.01,22.11,,,,,5.3,,,,5.13,18.11,,,,,
20010301,2.39,,,,,4.78,,1.89,,,,,,,,1.02,3.03,,,,,,,,,,3.12,,,5.91,,,0.44,,,,,,,3.64,,,,2.66,6.28,,,,6.05,22.32,,,,,5.35,,,,5.51,17,,,,,
20010401,2.39,,,,,4.91,,1.82,,,,,,,,1.01,2.92,,,,,,,,,,3.06,,,5.93,,,0.5,,,,,,,3.54,,,,2.68,6.54,,,,5.83,20.33,,,,,4.73,,,,5.88,16.7,,,,,
